KDNR;LSNR;LA_FIRMA;LA_ADRESSE;LA_PLZ;LA_ORT;LIEFERDATUM;Tag;Zone;Landi;Pal;Tour
100066;130887;Demaurex & Cie S.A.;Mooswiesstrasse 42;9200;Gossau SG;45758;Fr;11;;3.1;
100105;131067;Erb Getränkehandel;Hinterdorfstrasse 48;8405;Winterthur;45758;Fr;09;;5;
100180;131109;Huber Getränkehandlung AG;Brauereristrasse 14;8610;Uster;45758;Fr;09;;3;
101294;131012;Massnahmenzentrum Uitikon;Zürcherstrasse 100;8142;Uitikon-Waldegg;45758;Fr;08;;1;
101388;131076;Landi Thula Genossenschaft;Tanneggstrasse 4;8374;Dussnang;45758;Fr;10;Landi;4;
101408;131097;Landi Ganterschwil;Toggenburgerstrasse 5;9608;Ganterschwil;45758;Fr;11;Landi;5;
101411;131098;Landi Goldach;Sulzstrasse 21;9403;Goldach;45758;Fr;12;Landi;6;
101436;130959;LANDI Seebachtal;Im Winkel;8536;Hüttwilen;45758;Fr;10;;6;
101460;131004;Landi Weinland Genossenschaft;Güterstrasse 3;8460;Marthalen;45758;Fr;10;Landi;5;
101460;131059;Landi Weinland Genossenschaft;Güterstrasse 3;8460;Marthalen;45758;Fr;10;Landi;4;
101461;130961;Landi Oberthurgau AG;Hauptstrasse 30;9562;Märwil;45758;Fr;10;Landi;4;
101522;130965;Landi Schänis;Landistrasse 2;8718;Schänis;45758;Fr;10;Landi;4;
101569;130936;Landi Zimmerberg;Industriestrasse 15;8820;Wädenswil;45758;Fr;09;Landi;16;
101569;131039;Landi Zimmerberg;Industriestrasse 15;8820;Wädenswil;45758;Fr;09;Landi;4;
101646;131015;Landi Surb;Dorfstrasse 18;8165;Schleinikon;45758;Fr;08;Landi;4;
101855;131113;Landi Unteramt;Muristrasse 2;8912;Obfelden;45758;Fr;09;Landi;15;
101876;130950;Landi Thula Genossenschaft;St. Gallerstrasse 50;9548;Matzingen;45758;Fr;10;Landi;20;
101886;130990;Landi See AG;Tunnelstrasse 2;8732;Neuhaus SG;45758;Fr;10;Landi;6;
102020;131020;Landi mittlerer Zürisee;Gruebstrasse 93;8706;Meilen;45758;Fr;09;Landi;4;
102835;131021;Landi Oberrheintal;Oberrieterstrasse 87;9450;Altstätten;45758;Fr;12;Landi;23;
102971;131031;Landi Laden Laubisrüti;Laubisrütistrasse 40;8712;Stäfa;45758;Fr;09;Landi;4;
102980;130974;Landi Züri Unterland;Wehntalerstrasse 38;8181;Höri;45758;Fr;09;Landi;8;
103016;131022;Landi Bachtel;Kreuzstrasse 10;8635;Dürnten;45758;Fr;10;Landi;25;
103265;130938;Landi Thula Genossenschaft;Tagelbachstrasse 4;8546;Islikon;45758;Fr;10;Landi;4;
103351;131024;Landi Neftenbach AG;Zürichstrasse 44;8413;Neftenbach;45758;Fr;09;Landi;8;
104028;130976;Landi Züri Unterland;Schaffhauserstrasse 41;8193;Eglisau;45758;Fr;10;Landi;6;
104076;131025;Landi Graubünden AG;Löserstrasse 11;7302;Landquart;45758;Fr;12;Landi;;
104081;131062;Landi Zola AG;Mettlenbachstrasse 11;8617;Mönchaltorf;45758;Fr;09;Landi;5;
104219;131026;Landi Säntis AG;Landhausstrasse 6;9053;Teufen AR;45758;Fr;12;Landi;4;
104323;131116;Landi Appenzell AG;Mettlenstrasse 10;9050;Appenzell;45758;Fr;12;Landi;4;
104360;131103;Landi Fürstenland AG;Bischofszellerstrasse 126;9200;Gossau SG;45758;Fr;11;Landi;12;
104436;130883;Demaurex & Cie S.A.0;Bahnhofstrasse 58;7323;Wangs;45758;Fr;12;;3;
104441;130888;Demaurex & Co AG;Ruchstuckstrasse 3;8306;Brüttisellen;45758;Fr;08;;2;
104442;130884;Demaurex & Co AG;Neuhofstrasse 8;8500;Frauenfeld;45758;Fr;10;;2;
104444;130885;Demaurex & Co AG;Rütistrasse 155;8645;Rapperswil;45758;Fr;10;;3;
104445;130886;Demaurex & Co AG;Industriestrasse 167;8957;Spreitenbach;45758;Fr;08;;2;
104706;131104;Landi Thur AG;Dreibrunnenstrasse;8370;Sirnach;45758;Fr;10;Landi;7;
104880;131029;Landi Frauenfeld;Zürcherstrasse 381;8500;Frauenfeld;45758;Fr;10;Landi;4;
104880;131077;Landi Frauenfeld;Zürcherstrasse 381;8500;Frauenfeld;45758;Fr;10;Landi;4;
120921;130982;Halloe 550;Birchstrasse 150;8050;Zürich;45758;Fr;08;;10;
101809;131053;Landi am Ottenberg;Dorfstrasse 18;8560;Märstetten;45758;Fr;10;Landi;4;
103149;131061;Landi Graubünden AG;Äussere Heinzenbergstrasse 1;7430;Thusis;45758;Fr;13;Landi;6;
104377;131063;Landi Markt Aachtal AG;Leberenstrasse 1;8572;Berg TG;45758;Fr;11;Landi;4;
100111;131107;Brauerei Falken AG;Brauereistrasse 1;8200;Schaffhausen;45758;Fr;10;;3;
100389;131110;Tamagni Getränke AG;Chlaffentalstrasse 100;8212;Neuhausen am Rheinfall;45758;Fr;10;;4;
100822;131111;E. Bösch Getränke GmbH;Feldhof 1;8307;Effretikon;45758;Fr;09;;5;
101371;131105;Landi Bütschwil AG;Alte Strasse 7a;9606;Bütschwil;45758;Fr;11;Landi;4;
101894;131100;Landi Zola AG;Kempttalstrasse 90;8330;Pfäffikon ZH;45758;Fr;09;Landi;4;
103137;131101;Landi Markt AG Kreuzlingen;Tägerwilerstrasse 6;8280;Kreuzlingen;45758;Fr;11;Landi;7;
103268;131072;Landi Säntis;Hauptstrasse 10;9105;Schönengrund;45758;Fr;11;Landi;4;
104305;131102;Landi Nesslau;Toggenburgerstrasse 40;9652;Neu St. Johann;45758;Fr;12;Landi;4;
104688;131071;Prodega Markt;Gaswerkstrasse 6/8;8952;Schlieren;45758;Fr;08;;1;
104913;131112;BWT Bau AG;Wülfingerstrasse 285;8408;Winterthur;45758;Fr;09;;6;
